:Product: 202201_ace_swepam_1h.txt
:Issued: 2022 Feb 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 01 07  1100   59586   39600    0        1.7      317.6     2.28e+04
2022 01 07  1200   59586   43200    0        1.8      316.2     2.12e+04
2022 01 07  1300   59586   46800    3    -9999.9    -9999.9    -1.00e+05
2022 01 07  1400   59586   50400    0        1.6      314.4     2.50e+04
2022 01 07  1500   59586   54000    0        1.3      314.7     2.82e+04
2022 01 07  1600   59586   57600    0        1.0      307.6     3.79e+04
2022 01 07  1700   59586   61200    0        1.5      314.7     2.87e+04
2022 01 07  1800   59586   64800    1        1.1      314.8     2.65e+04
2022 01 07  1900   59586   68400    0        1.1      305.1     4.13e+04
2022 01 07  2000   59586   72000    1        1.0      307.2     3.31e+04
2022 01 07  2100   59586   75600    0        1.1      305.2     3.60e+04
2022 01 07  2200   59586   79200    0        0.8      312.2     3.38e+04
2022 01 07  2300   59586   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 08  0000   59587       0    1       85.4      296.4     1.18e+05
2022 01 08  0100   59587    3600    0       66.3      483.9     9.19e+04
2022 01 08  0200   59587    7200    1       52.3      304.7     3.48e+04
2022 01 08  0300   59587   10800    0       29.8      298.0     4.73e+04
2022 01 08  0400   59587   14400    0        6.7      291.4     1.64e+04
2022 01 08  0500   59587   18000    6        2.2      293.3     1.71e+04
2022 01 08  0600   59587   21600    3    -9999.9    -9999.9    -1.00e+05
2022 01 08  0700   59587   25200    0       35.2      310.9     6.10e+04
2022 01 08  0800   59587   28800    0       16.9      305.2     5.35e+04
2022 01 08  0900   59587   32400    0        7.6      308.0     2.42e+04
2022 01 08  1000   59587   36000    0        7.6      308.5     2.30e+04
2022 01 08  1100   59587   39600    0        7.0      305.4     2.09e+04
2022 01 08  1200   59587   43200    0        5.8      301.8     1.83e+04
2022 01 08  1300   59587   46800    0        5.7      301.9     1.93e+04
2022 01 08  1400   59587   50400    0        6.0      304.5     1.93e+04
2022 01 08  1500   59587   54000    0        6.0      313.0     1.80e+04
2022 01 08  1600   59587   57600    0        5.8      314.4     1.94e+04
2022 01 08  1700   59587   61200    0       17.2      349.1     2.91e+04
2022 01 08  1800   59587   64800    0       24.0      368.6     5.26e+04
2022 01 08  1900   59587   68400    0       24.1      373.4     6.39e+04
2022 01 08  2000   59587   72000    0       31.6      385.0     9.82e+04
2022 01 08  2100   59587   75600    0       29.8      389.9     1.26e+05
2022 01 08  2200   59587   79200    3    -9999.9    -9999.9    -1.00e+05
2022 01 08  2300   59587   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 09  0000   59588       0    1        9.0      460.7     4.69e+05
2022 01 09  0100   59588    3600    1        8.6      459.5     4.07e+05
2022 01 09  0200   59588    7200    1        7.1      446.2     3.83e+05
2022 01 09  0300   59588   10800    1        7.8      422.4     2.94e+05
2022 01 09  0400   59588   14400    0        7.2      443.4     2.81e+05
2022 01 09  0500   59588   18000    0        9.2      475.3     3.34e+05
2022 01 09  0600   59588   21600    0        8.0      468.9     2.95e+05
2022 01 09  0700   59588   25200    1        3.8      501.4     2.81e+05
2022 01 09  0800   59588   28800    1        1.6      520.8     1.80e+05
2022 01 09  0900   59588   32400    0        1.4      519.0     1.78e+05
2022 01 09  1000   59588   36000    0        1.2      518.1     1.65e+05
2022 01 09  1100   59588   39600    0        1.1      510.5     1.39e+05
2022 01 09  1200   59588   43200    0        1.2      510.5     1.43e+05
2022 01 09  1300   59588   46800    0        1.7      490.0     1.36e+05
2022 01 09  1400   59588   50400    0        2.5      452.8     7.29e+04
2022 01 09  1500   59588   54000    1        2.3      443.6     6.88e+04
2022 01 09  1600   59588   57600    0        2.6      447.0     6.34e+04
2022 01 09  1700   59588   61200    0        2.8      446.2     5.47e+04
2022 01 09  1800   59588   64800    0        2.8      451.8     5.73e+04
2022 01 09  1900   59588   68400    0        3.7      446.7     5.49e+04
2022 01 09  2000   59588   72000    0        4.0      452.5     5.58e+04
2022 01 09  2100   59588   75600    0        4.6      457.1     6.29e+04
2022 01 09  2200   59588   79200    0        4.3      450.8     6.04e+04
2022 01 09  2300   59588   82800    3    -9999.9    -9999.9    -1.00e+05
2022 01 10  0000   59589       0    0        6.7      445.3     6.69e+04
2022 01 10  0100   59589    3600    0        6.5      452.1     5.50e+04
2022 01 10  0200   59589    7200    0        6.0      440.5     3.80e+04
2022 01 10  0300   59589   10800    0        6.5      441.8     4.94e+04
2022 01 10  0400   59589   14400    3    -9999.9    -9999.9    -1.00e+05
2022 01 10  0500   59589   18000    0        4.2      420.6     5.95e+04
2022 01 10  0600   59589   21600    0        3.5      425.3     7.01e+04
2022 01 10  0700   59589   25200    0        3.0      445.6     6.60e+04
2022 01 10  0800   59589   28800    0        2.4      437.5     8.66e+04
2022 01 10  0900   59589   32400    0        4.7      431.3     9.35e+04
2022 01 10  1000   59589   36000    0        2.4      427.9     8.49e+04
2022 01 10  1100   59589   39600    0        2.6      424.2     7.94e+04
2022 01 10  1200   59589   43200    0        2.5      420.2     7.55e+04
2022 01 10  1300   59589   46800    0        2.7      415.1     6.64e+04
2022 01 10  1400   59589   50400    0        2.9      417.3     6.55e+04
2022 01 10  1500   59589   54000    0        2.9      423.6     6.60e+04
2022 01 10  1600   59589   57600    0        2.7      411.6     6.06e+04
2022 01 10  1700   59589   61200    0        2.8      417.9     6.02e+04
2022 01 10  1800   59589   64800    0        3.3      417.1     6.35e+04
2022 01 10  1900   59589   68400    0        3.6      414.0     5.48e+04
2022 01 10  2000   59589   72000    0        4.1      401.1     4.48e+04
2022 01 10  2100   59589   75600    0        3.3      405.9     5.44e+04
2022 01 10  2200   59589   79200    0        3.9      407.5     5.99e+04
2022 01 10  2300   59589   82800    0       17.6      391.9     7.46e+04
2022 01 11  0000   59590       0    0        5.3      398.9     6.09e+04
2022 01 11  0100   59590    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0200   59590    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0300   59590   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0400   59590   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0500   59590   18000    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0600   59590   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0700   59590   25200    9    -9999.9    -9999.9    -1.00e+05
2022 01 11  0800   59590   28800    0        6.5      381.2     5.19e+04
2022 01 11  0900   59590   32400    0        6.6      383.9     5.77e+04
2022 01 11  1000   59590   36000    0        5.4      381.6     6.15e+04
2022 01 11  1100   59590   39600    0        5.1      386.2     6.00e+04
2022 01 11  1200   59590   43200    0        5.6      386.7     4.58e+04
2022 01 11  1300   59590   46800    0        5.6      392.0     6.32e+04
2022 01 11  1400   59590   50400    0        6.0      400.5     5.87e+04
2022 01 11  1500   59590   54000    0        6.0      386.1     5.04e+04
2022 01 11  1600   59590   57600    1        4.4      381.3     7.00e+04
2022 01 11  1700   59590   61200    0        4.3      373.1     6.81e+04
2022 01 11  1800   59590   64800    0        4.4      366.5     5.82e+04
2022 01 11  1900   59590   68400    0        4.0      368.6     5.79e+04
2022 01 11  2000   59590   72000    0        5.0      365.7     4.69e+04
2022 01 11  2100   59590   75600    0        5.6      363.3     3.80e+04
2022 01 11  2200   59590   79200    3    -9999.9    -9999.9    -1.00e+05
2022 01 11  2300   59590   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 12  0000   59591       0    3    -9999.9    -9999.9    -1.00e+05
2022 01 12  0100   59591    3600    0       14.0      356.4     2.26e+04
2022 01 12  0200   59591    7200    0        7.4      369.8     3.33e+04
2022 01 12  0300   59591   10800    0        6.4      371.0     2.52e+04
2022 01 12  0400   59591   14400    0        4.8      374.8     3.27e+04
2022 01 12  0500   59591   18000    0        5.0      368.6     3.07e+04
2022 01 12  0600   59591   21600    0        6.8      373.4     2.81e+04
2022 01 12  0700   59591   25200    0        5.9      378.3     3.11e+04
2022 01 12  0800   59591   28800    0        6.6      382.7     9.80e+04
2022 01 12  0900   59591   32400    0        4.3      374.6     3.83e+04
2022 01 12  1000   59591   36000    0        4.6      365.5     4.90e+04
2022 01 12  1100   59591   39600    3    -9999.9    -9999.9    -1.00e+05
2022 01 12  1200   59591   43200    0        3.6      374.7     1.03e+05
2022 01 12  1300   59591   46800    0        4.0      384.9     5.50e+04
2022 01 12  1400   59591   50400    0        4.2      380.8     4.95e+04
2022 01 12  1500   59591   54000    0        4.0      375.4     5.86e+04
2022 01 12  1600   59591   57600    0        3.3      379.9     6.72e+04
2022 01 12  1700   59591   61200    0        3.1      377.6     9.36e+04
2022 01 12  1800   59591   64800    9    -9999.9    -9999.9    -1.00e+05
2022 01 12  1900   59591   68400    9    -9999.9    -9999.9    -1.00e+05
2022 01 12  2000   59591   72000    9    -9999.9    -9999.9    -1.00e+05
2022 01 12  2100   59591   75600    0        3.6      386.5     1.32e+05
2022 01 12  2200   59591   79200    3    -9999.9    -9999.9    -1.00e+05
2022 01 12  2300   59591   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 13  0000   59592       0    1       21.0      388.5     2.40e+05
2022 01 13  0100   59592    3600    0       27.0      367.6     1.19e+05
2022 01 13  0200   59592    7200    6        8.7      367.0     1.32e+05
2022 01 13  0300   59592   10800    6        6.6      364.5     7.31e+04
2022 01 13  0400   59592   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 13  0500   59592   18000    6    -9999.9    -9999.9    -1.00e+05
2022 01 13  0600   59592   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 13  0700   59592   25200    9    -9999.9    -9999.9    -1.00e+05
2022 01 13  0800   59592   28800    0        1.9      365.5     1.06e+05
2022 01 13  0900   59592   32400    0        2.5      372.3     9.38e+04
2022 01 13  1000   59592   36000    1        1.3      362.6     9.82e+04
2022 01 13  1100   59592   39600    0        1.3      361.6     5.98e+04
2022 01 13  1200   59592   43200    0        2.6      350.1     4.63e+04
2022 01 13  1300   59592   46800    0        2.1      342.7     4.57e+04
2022 01 13  1400   59592   50400    0        2.7      345.5     4.12e+04
2022 01 13  1500   59592   54000    9    -9999.9    -9999.9    -1.00e+05
2022 01 13  1600   59592   57600    9    -9999.9    -9999.9    -1.00e+05
2022 01 13  1700   59592   61200    0        2.1      334.4     3.26e+04
2022 01 13  1800   59592   64800    0        2.2      335.0     3.72e+04
2022 01 13  1900   59592   68400    0        3.3      342.6     3.82e+04
2022 01 13  2000   59592   72000    0        4.0      350.5     4.56e+04
2022 01 13  2100   59592   75600    0        5.8      358.6     5.08e+04
2022 01 13  2200   59592   79200    0        3.7      360.2     4.89e+04
2022 01 13  2300   59592   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0000   59593       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0100   59593    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0200   59593    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0300   59593   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0400   59593   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0500   59593   18000    1        4.2      350.1     4.74e+04
2022 01 14  0600   59593   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0700   59593   25200    9    -9999.9    -9999.9    -1.00e+05
2022 01 14  0800   59593   28800    0        4.5      352.7     4.93e+04
2022 01 14  0900   59593   32400    0        5.3      352.1     4.44e+04
2022 01 14  1000   59593   36000    0        6.8      351.7     3.89e+04
2022 01 14  1100   59593   39600    0        6.6      354.6     3.93e+04
2022 01 14  1200   59593   43200    0        6.9      357.6     5.02e+04
2022 01 14  1300   59593   46800    0        8.6      358.1     3.97e+04
2022 01 14  1400   59593   50400    0       10.6      359.7     2.30e+04
2022 01 14  1500   59593   54000    0       11.0      366.9     2.72e+04
2022 01 14  1600   59593   57600    0        8.5      366.4     2.32e+04
2022 01 14  1700   59593   61200    0        8.9      372.4     2.62e+04
2022 01 14  1800   59593   64800    0        9.7      368.7     2.71e+04
2022 01 14  1900   59593   68400    0       11.0      369.0     2.82e+04
2022 01 14  2000   59593   72000    0       16.1      366.2     2.80e+04
2022 01 14  2100   59593   75600    0       17.1      387.9     8.10e+04
2022 01 14  2200   59593   79200    0       12.7      431.3     2.55e+05
2022 01 14  2300   59593   82800    1        9.8      435.3     2.52e+05
2022 01 15  0000   59594       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 15  0100   59594    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 15  0200   59594    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 15  0300   59594   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 15  0400   59594   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 15  0500   59594   18000    0        7.9      458.1     1.50e+05
2022 01 15  0600   59594   21600    9    -9999.9    -9999.9    -1.00e+05
2022 01 15  0700   59594   25200    3    -9999.9    -9999.9    -1.00e+05
2022 01 15  0800   59594   28800    1       24.3      427.9     1.35e+05
2022 01 15  0900   59594   32400    0        6.6      436.3     1.06e+05
2022 01 15  1000   59594   36000    0        7.4      438.9     1.21e+05
2022 01 15  1100   59594   39600    0        7.4      446.3     1.36e+05
2022 01 15  1200   59594   43200    0        8.1      463.8     1.55e+05
2022 01 15  1300   59594   46800    0        7.7      474.3     2.10e+05
2022 01 15  1400   59594   50400    0        6.3      531.0     2.15e+05
2022 01 15  1500   59594   54000    0        5.9      552.8     2.45e+05
2022 01 15  1600   59594   57600    0        7.3      570.7     2.70e+05
2022 01 15  1700   59594   61200    0        8.3      569.1     2.68e+05
2022 01 15  1800   59594   64800    0        5.3      575.8     3.33e+05
2022 01 15  1900   59594   68400    0        5.1      576.5     2.79e+05
2022 01 15  2000   59594   72000    0        4.4      569.8     2.94e+05
2022 01 15  2100   59594   75600    0        4.9      567.4     2.93e+05
2022 01 15  2200   59594   79200    1        3.4      583.9     3.03e+05
2022 01 15  2300   59594   82800    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0000   59595       0    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0100   59595    3600    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0200   59595    7200    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0300   59595   10800    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0400   59595   14400    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0500   59595   18000    6        1.7      560.6     1.51e+05
2022 01 16  0600   59595   21600    1        4.7      570.4     2.26e+05
2022 01 16  0700   59595   25200    9    -9999.9    -9999.9    -1.00e+05
2022 01 16  0800   59595   28800    0        2.0      542.9     1.34e+05
2022 01 16  0900   59595   32400    0        2.4      541.9     1.22e+05
2022 01 16  1000   59595   36000    1        2.3      547.6     1.27e+05
2022 01 16  1100   59595   39600    0        2.3      534.4     1.39e+05
2022 01 16  1200   59595   43200    0        2.4      537.7     1.35e+05
2022 01 16  1300   59595   46800    0        2.5      535.9     1.40e+05
2022 01 16  1400   59595   50400    0        2.8      541.8     1.66e+05
2022 01 16  1500   59595   54000    0        3.0      548.9     1.79e+05
2022 01 16  1600   59595   57600    0        2.6      551.5     1.65e+05
2022 01 16  1700   59595   61200    0        2.3      537.8     1.76e+05
2022 01 16  1800   59595   64800    0        3.0      569.7     1.86e+05
2022 01 16  1900   59595   68400    0        3.8      604.3     3.00e+05
2022 01 16  2000   59595   72000    0        3.6      574.2     2.87e+05
2022 01 16  2100   59595   75600    0        3.2      601.7     2.92e+05
2022 01 16  2200   59595   79200    0        2.9      605.2     2.94e+05
