:Product: 202202_ace_swepam_1h.txt
:Issued: 2022 Mar 01 0510 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   Hourly Averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 02 04  0300   59614   10800    0        4.9      551.6     1.23e+05
2022 02 04  0400   59614   14400    6        4.6      568.7     1.63e+05
2022 02 04  0500   59614   18000    9    -9999.9    -9999.9    -1.00e+05
2022 02 04  0600   59614   21600    6        8.9      559.1     3.26e+05
2022 02 04  0700   59614   25200    0        6.2      524.6     8.43e+04
2022 02 04  0800   59614   28800    0        5.1      508.9     5.76e+04
2022 02 04  0900   59614   32400    0        4.4      507.2     5.01e+04
2022 02 04  1000   59614   36000    0        3.7      510.0     4.68e+04
2022 02 04  1100   59614   39600    0        2.9      510.7     3.73e+04
2022 02 04  1200   59614   43200    0        4.4      506.9     3.12e+04
2022 02 04  1300   59614   46800    0        4.3      505.6     5.01e+04
2022 02 04  1400   59614   50400    0        3.7      493.2     1.37e+05
2022 02 04  1500   59614   54000    0        2.1      488.2     9.60e+04
2022 02 04  1600   59614   57600    0        1.5      495.0     1.13e+05
2022 02 04  1700   59614   61200    0        1.0      479.0     9.68e+04
2022 02 04  1800   59614   64800    0        1.3      499.4     4.27e+04
2022 02 04  1900   59614   68400    1        1.1      485.5     2.44e+04
2022 02 04  2000   59614   72000    0        5.1      483.8     9.65e+04
2022 02 04  2100   59614   75600    0        1.5      467.7     6.11e+04
2022 02 04  2200   59614   79200    0        2.7      462.3     6.30e+04
2022 02 04  2300   59614   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0000   59615       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0100   59615    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0200   59615    7200    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0300   59615   10800    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0400   59615   14400    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0500   59615   18000    9    -9999.9    -9999.9    -1.00e+05
2022 02 05  0600   59615   21600    3    -9999.9    -9999.9    -1.00e+05
2022 02 05  0700   59615   25200    6        1.6      480.0     1.87e+05
2022 02 05  0800   59615   28800    0        2.1      493.2     1.69e+05
2022 02 05  0900   59615   32400    1        2.0      492.4     1.45e+05
2022 02 05  1000   59615   36000    0        1.5      507.7     1.68e+05
2022 02 05  1100   59615   39600    3    -9999.9    -9999.9    -1.00e+05
2022 02 05  1200   59615   43200    0        2.1      542.2     2.21e+05
2022 02 05  1300   59615   46800    0        2.2      563.7     2.07e+05
2022 02 05  1400   59615   50400    1        2.4      550.4     2.24e+05
2022 02 05  1500   59615   54000    0        2.7      539.8     1.78e+05
2022 02 05  1600   59615   57600    0        2.0      579.0     1.94e+05
2022 02 05  1700   59615   61200    0        1.9      578.8     2.21e+05
2022 02 05  1800   59615   64800    0        2.1      603.9     2.12e+05
2022 02 05  1900   59615   68400    0        2.1      568.5     1.92e+05
2022 02 05  2000   59615   72000    0        1.7      565.4     1.77e+05
2022 02 05  2100   59615   75600    1        2.1      569.5     2.41e+05
2022 02 05  2200   59615   79200    0        0.9      556.7     2.29e+05
2022 02 05  2300   59615   82800    0        1.5      577.6     2.52e+05
2022 02 06  0000   59616       0    1        1.3      578.7     2.37e+05
2022 02 06  0100   59616    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0200   59616    7200    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0300   59616   10800    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0400   59616   14400    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0500   59616   18000    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0600   59616   21600    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0700   59616   25200    9    -9999.9    -9999.9    -1.00e+05
2022 02 06  0800   59616   28800    0        1.4      610.5     1.48e+05
2022 02 06  0900   59616   32400    1        1.1      587.7     2.01e+05
2022 02 06  1000   59616   36000    0        0.5      556.8     2.06e+05
2022 02 06  1100   59616   39600    0        0.7      554.1     1.94e+05
2022 02 06  1200   59616   43200    0        0.9      548.5     2.22e+05
2022 02 06  1300   59616   46800    0        0.6      538.4     2.13e+05
2022 02 06  1400   59616   50400    3    -9999.9    -9999.9    -1.00e+05
2022 02 06  1500   59616   54000    0        0.4      530.9     1.90e+05
2022 02 06  1600   59616   57600    1        0.7      560.1     2.30e+05
2022 02 06  1700   59616   61200    0        0.9      538.8     2.50e+05
2022 02 06  1800   59616   64800    1        1.0      524.6     2.27e+05
2022 02 06  1900   59616   68400    0        0.8      536.6     2.34e+05
2022 02 06  2000   59616   72000    1        1.1      518.7     2.39e+05
2022 02 06  2100   59616   75600    1        0.8      512.5     2.68e+05
2022 02 06  2200   59616   79200    0        0.6      509.0     2.07e+05
2022 02 06  2300   59616   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0000   59617       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0100   59617    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0200   59617    7200    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0300   59617   10800    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0400   59617   14400    0    -9999.9      379.7     2.96e+04
2022 02 07  0500   59617   18000    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0600   59617   21600    9    -9999.9    -9999.9    -1.00e+05
2022 02 07  0700   59617   25200    6    -9999.9    -9999.9    -1.00e+05
2022 02 07  0800   59617   28800    1        0.8      493.2     1.40e+05
2022 02 07  0900   59617   32400    0        1.2      478.1     1.29e+05
2022 02 07  1000   59617   36000    0        0.8      483.3     1.30e+05
2022 02 07  1100   59617   39600    0        1.3      457.2     1.14e+05
2022 02 07  1200   59617   43200    0        1.1      449.0     1.18e+05
2022 02 07  1300   59617   46800    0        0.8      460.4     8.49e+04
2022 02 07  1400   59617   50400    0        1.1      465.5     7.16e+04
2022 02 07  1500   59617   54000    0        0.6      455.7     1.05e+05
2022 02 07  1600   59617   57600    0        1.5      456.8     6.95e+04
2022 02 07  1700   59617   61200    0        1.1      461.4     9.08e+04
2022 02 07  1800   59617   64800    0        1.3      452.6     8.19e+04
2022 02 07  1900   59617   68400    0        1.4      442.1     6.74e+04
2022 02 07  2000   59617   72000    1        1.4      439.2     7.47e+04
2022 02 07  2100   59617   75600    0        1.4      438.0     8.23e+04
2022 02 07  2200   59617   79200    3    -9999.9    -9999.9    -1.00e+05
2022 02 07  2300   59617   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 08  0000   59618       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 08  0100   59618    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 08  0200   59618    7200    6    -9999.9    -9999.9    -1.00e+05
2022 02 08  0300   59618   10800    0        2.4      429.4     6.72e+04
2022 02 08  0400   59618   14400    0        2.2      424.2     7.11e+04
2022 02 08  0500   59618   18000    0        2.1      426.4     6.74e+04
2022 02 08  0600   59618   21600    1        3.0      436.5     9.73e+04
2022 02 08  0700   59618   25200    1        2.3      420.5     1.32e+05
2022 02 08  0800   59618   28800    0        2.1      422.9     6.60e+04
2022 02 08  0900   59618   32400    0        1.6      419.8     5.83e+04
2022 02 08  1000   59618   36000    0        1.7      414.3     5.98e+04
2022 02 08  1100   59618   39600    0        2.1      407.9     8.50e+04
2022 02 08  1200   59618   43200    0        2.6      403.0     8.33e+04
2022 02 08  1300   59618   46800    0        2.4      415.1     8.93e+04
2022 02 08  1400   59618   50400    0        2.3      419.1     8.24e+04
2022 02 08  1500   59618   54000    0        2.3      415.1     7.06e+04
2022 02 08  1600   59618   57600    0        2.3      413.7     9.31e+04
2022 02 08  1700   59618   61200    0        2.6      409.4     9.41e+04
2022 02 08  1800   59618   64800    0        2.4      407.9     8.93e+04
2022 02 08  1900   59618   68400    1        2.3      410.5     8.67e+04
2022 02 08  2000   59618   72000    0        2.2      408.4     8.27e+04
2022 02 08  2100   59618   75600    3    -9999.9    -9999.9    -1.00e+05
2022 02 08  2200   59618   79200    3    -9999.9    -9999.9    -1.00e+05
2022 02 08  2300   59618   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 09  0000   59619       0    0       69.3      352.8     1.10e+05
2022 02 09  0100   59619    3600    6       87.8      385.6     8.19e+04
2022 02 09  0200   59619    7200    0      116.9      360.2     1.11e+05
2022 02 09  0300   59619   10800    3    -9999.9    -9999.9    -1.00e+05
2022 02 09  0400   59619   14400    6    -9999.9    -9999.9    -1.00e+05
2022 02 09  0500   59619   18000    0        2.5      388.4     8.13e+04
2022 02 09  0600   59619   21600    3    -9999.9    -9999.9    -1.00e+05
2022 02 09  0700   59619   25200    1       19.0      380.6     7.83e+04
2022 02 09  0800   59619   28800    0        6.5      392.5     2.09e+05
2022 02 09  0900   59619   32400    0        2.7      376.7     6.62e+04
2022 02 09  1000   59619   36000    1        2.8      373.4     6.29e+04
2022 02 09  1100   59619   39600    0        2.7      367.8     5.66e+04
2022 02 09  1200   59619   43200    0        2.8      362.5     5.49e+04
2022 02 09  1300   59619   46800    0        2.8      372.3     5.32e+04
2022 02 09  1400   59619   50400    0        2.9      371.7     4.05e+04
2022 02 09  1500   59619   54000    0        2.9      371.5     4.46e+04
2022 02 09  1600   59619   57600    0        2.9      373.0     4.62e+04
2022 02 09  1700   59619   61200    0        2.8      369.3     3.71e+04
2022 02 09  1800   59619   64800    0        2.7      370.5     4.38e+04
2022 02 09  1900   59619   68400    0        2.7      361.8     2.84e+04
2022 02 09  2000   59619   72000    0        4.3      403.7     5.46e+04
2022 02 09  2100   59619   75600    0        5.2      405.3     7.43e+04
2022 02 09  2200   59619   79200    3    -9999.9    -9999.9    -1.00e+05
2022 02 09  2300   59619   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 10  0000   59620       0    6    -9999.9    -9999.9    -1.00e+05
2022 02 10  0100   59620    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 10  0200   59620    7200    0        8.4      428.8     7.23e+04
2022 02 10  0300   59620   10800    0        6.8      402.0     6.06e+04
2022 02 10  0400   59620   14400    0        6.8      396.6     7.82e+04
2022 02 10  0500   59620   18000    0       11.5      407.1     6.36e+04
2022 02 10  0600   59620   21600    0       10.1      413.0     7.90e+04
2022 02 10  0700   59620   25200    3    -9999.9    -9999.9    -1.00e+05
2022 02 10  0800   59620   28800    0       21.8      384.2     1.38e+05
2022 02 10  0900   59620   32400    0       12.8      393.8     6.85e+04
2022 02 10  1000   59620   36000    0       13.2      402.4     4.86e+04
2022 02 10  1100   59620   39600    0       10.2      407.9     5.76e+04
2022 02 10  1200   59620   43200    0        9.2      409.2     3.51e+04
2022 02 10  1300   59620   46800    0        5.9      416.4     3.74e+04
2022 02 10  1400   59620   50400    0        2.6      419.2     3.43e+04
2022 02 10  1500   59620   54000    0        1.8      410.6     2.63e+04
2022 02 10  1600   59620   57600    0        1.4      408.4     2.27e+04
2022 02 10  1700   59620   61200    0        2.0      403.4     2.40e+04
2022 02 10  1800   59620   64800    0        1.1      399.5     3.34e+04
2022 02 10  1900   59620   68400    0        0.8      403.4     4.43e+04
2022 02 10  2000   59620   72000    0        1.5      406.1     4.45e+04
2022 02 10  2100   59620   75600    0        2.2      400.3     3.00e+04
2022 02 10  2200   59620   79200    3    -9999.9    -9999.9    -1.00e+05
2022 02 10  2300   59620   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 11  0000   59621       0    0       16.7      391.8     1.84e+05
2022 02 11  0100   59621    3600    0        2.9      386.7     3.75e+04
2022 02 11  0200   59621    7200    0        2.3      388.4     3.25e+04
2022 02 11  0300   59621   10800    0        2.0      382.5     2.96e+04
2022 02 11  0400   59621   14400    0        2.0      381.6     3.17e+04
2022 02 11  0500   59621   18000    0        1.9      379.7     2.89e+04
2022 02 11  0600   59621   21600    1        2.5      380.1     2.32e+04
2022 02 11  0700   59621   25200    0        4.1      395.8     1.99e+05
2022 02 11  0800   59621   28800    0        2.5      381.4     1.33e+04
2022 02 11  0900   59621   32400    0        6.8      387.0     3.38e+04
2022 02 11  1000   59621   36000    0        6.9      417.7     3.43e+04
2022 02 11  1100   59621   39600    0        4.7      421.0     3.73e+04
2022 02 11  1200   59621   43200    0        5.0      412.2     2.80e+04
2022 02 11  1300   59621   46800    0        8.9      417.0     3.06e+04
2022 02 11  1400   59621   50400    0       14.6      418.5     4.19e+04
2022 02 11  1500   59621   54000    0       21.9      426.5     8.19e+04
2022 02 11  1600   59621   57600    0       25.4      434.3     8.21e+04
2022 02 11  1700   59621   61200    0       14.1      435.3     1.45e+05
2022 02 11  1800   59621   64800    1        8.6      466.5     3.40e+05
2022 02 11  1900   59621   68400    0        8.3      479.0     3.16e+05
2022 02 11  2000   59621   72000    0        8.1      484.2     3.78e+05
2022 02 11  2100   59621   75600    0        6.3      489.4     3.31e+05
2022 02 11  2200   59621   79200    0        4.4      551.6     2.17e+05
2022 02 11  2300   59621   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 12  0000   59622       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 12  0100   59622    3600    3    -9999.9    -9999.9    -1.00e+05
2022 02 12  0200   59622    7200    0        3.1      549.6     2.03e+05
2022 02 12  0300   59622   10800    0        2.6      556.2     1.95e+05
2022 02 12  0400   59622   14400    1        2.8      543.7     1.92e+05
2022 02 12  0500   59622   18000    0        3.1      562.8     2.07e+05
2022 02 12  0600   59622   21600    0        3.3      573.7     2.28e+05
2022 02 12  0700   59622   25200    0        3.3      568.8     2.12e+05
2022 02 12  0800   59622   28800    0        3.4      565.9     2.36e+05
2022 02 12  0900   59622   32400    0        3.4      578.2     2.23e+05
2022 02 12  1000   59622   36000    0        2.8      541.0     1.90e+05
2022 02 12  1100   59622   39600    0        3.0      547.9     1.91e+05
2022 02 12  1200   59622   43200    0        3.8      556.5     1.75e+05
2022 02 12  1300   59622   46800    0        3.2      547.1     1.84e+05
2022 02 12  1400   59622   50400    1        3.2      551.8     1.73e+05
2022 02 12  1500   59622   54000    1        2.7      536.4     1.62e+05
2022 02 12  1600   59622   57600    1        2.4      514.9     1.54e+05
2022 02 12  1700   59622   61200    0        2.4      516.1     1.53e+05
2022 02 12  1800   59622   64800    0        2.5      528.1     1.63e+05
2022 02 12  1900   59622   68400    0        2.3      528.1     1.65e+05
2022 02 12  2000   59622   72000    0        2.2      532.1     1.70e+05
2022 02 12  2100   59622   75600    0        2.5      542.3     1.70e+05
2022 02 12  2200   59622   79200    0        2.6      523.9     1.69e+05
2022 02 12  2300   59622   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 13  0000   59623       0    0        2.6      527.2     1.78e+05
2022 02 13  0100   59623    3600    0        2.0      510.8     1.58e+05
2022 02 13  0200   59623    7200    0        2.2      507.3     1.53e+05
2022 02 13  0300   59623   10800    0        2.7      511.8     1.93e+05
2022 02 13  0400   59623   14400    0        2.5      509.3     1.76e+05
2022 02 13  0500   59623   18000    0        2.3      505.4     1.72e+05
2022 02 13  0600   59623   21600    0        2.8      508.8     1.96e+05
2022 02 13  0700   59623   25200    0        2.9      518.9     1.81e+05
2022 02 13  0800   59623   28800    0        3.3      516.7     1.97e+05
2022 02 13  0900   59623   32400    0        3.7      501.1     1.96e+05
2022 02 13  1000   59623   36000    0        1.9      516.9     1.46e+05
2022 02 13  1100   59623   39600    0        1.6      515.6     1.28e+05
2022 02 13  1200   59623   43200    1        1.5      510.1     1.21e+05
2022 02 13  1300   59623   46800    0        1.6      501.8     1.30e+05
2022 02 13  1400   59623   50400    1        1.7      493.4     1.32e+05
2022 02 13  1500   59623   54000    0        2.3      490.3     8.06e+04
2022 02 13  1600   59623   57600    0        2.3      494.8     8.84e+04
2022 02 13  1700   59623   61200    0        2.9      498.8     9.25e+04
2022 02 13  1800   59623   64800    0        3.0      495.5     1.09e+05
2022 02 13  1900   59623   68400    0        2.8      479.2     1.12e+05
2022 02 13  2000   59623   72000    0        3.1      483.4     1.01e+05
2022 02 13  2100   59623   75600    0        3.4      476.0     9.71e+04
2022 02 13  2200   59623   79200    0        3.3      470.4     9.46e+04
2022 02 13  2300   59623   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 14  0000   59624       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 14  0100   59624    3600    6       27.3      479.7     6.61e+05
2022 02 14  0200   59624    7200    0        3.0      469.5     9.63e+04
2022 02 14  0300   59624   10800    0        3.6      469.7     7.55e+04
2022 02 14  0400   59624   14400    0        4.5      461.2     7.44e+04
2022 02 14  0500   59624   18000    0        4.4      458.3     7.38e+04
2022 02 14  0600   59624   21600    0        3.5      466.6     8.21e+04
2022 02 14  0700   59624   25200    0        3.3      460.7     9.03e+04
2022 02 14  0800   59624   28800    0        2.6      468.3     1.18e+05
2022 02 14  0900   59624   32400    0        2.4      476.0     9.79e+04
2022 02 14  1000   59624   36000    0        3.2      470.5     7.99e+04
2022 02 14  1100   59624   39600    0        2.7      467.0     9.18e+04
2022 02 14  1200   59624   43200    0        2.7      459.7     8.38e+04
2022 02 14  1300   59624   46800    0        2.5      438.8     9.52e+04
2022 02 14  1400   59624   50400    0        2.4      435.3     9.17e+04
2022 02 14  1500   59624   54000    3    -9999.9    -9999.9    -1.00e+05
2022 02 14  1600   59624   57600    0        2.2      439.4     5.13e+04
2022 02 14  1700   59624   61200    0        2.1      428.4     8.59e+04
2022 02 14  1800   59624   64800    0        2.1      421.7     8.22e+04
2022 02 14  1900   59624   68400    0        2.3      418.8     6.53e+04
2022 02 14  2000   59624   72000    0        2.2      411.9     7.09e+04
2022 02 14  2100   59624   75600    0        2.2      412.5     8.00e+04
2022 02 14  2200   59624   79200    3    -9999.9    -9999.9    -1.00e+05
2022 02 14  2300   59624   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 15  0000   59625       0    0        5.3      404.0     8.37e+04
2022 02 15  0100   59625    3600    0        2.4      403.7     8.20e+04
2022 02 15  0200   59625    7200    0        6.5      404.2     1.08e+05
2022 02 15  0300   59625   10800    0        2.4      405.9     7.12e+04
2022 02 15  0400   59625   14400    0        2.7      403.7     7.28e+04
2022 02 15  0500   59625   18000    0        3.1      400.5     8.46e+04
2022 02 15  0600   59625   21600    1        2.8      395.3     9.79e+04
2022 02 15  0700   59625   25200    1        5.2      390.0     1.02e+05
2022 02 15  0800   59625   28800    0        3.0      392.1     9.59e+04
2022 02 15  0900   59625   32400    0        4.1      406.2     1.07e+05
2022 02 15  1000   59625   36000    0        3.6      389.6     6.16e+04
2022 02 15  1100   59625   39600    1        3.5      390.6     5.56e+04
2022 02 15  1200   59625   43200    0        3.0      387.2     4.55e+04
2022 02 15  1300   59625   46800    0        3.1      405.5     3.73e+04
2022 02 15  1400   59625   50400    0        3.5      404.3     4.18e+04
2022 02 15  1500   59625   54000    0        3.4      395.7     4.51e+04
2022 02 15  1600   59625   57600    3    -9999.9    -9999.9    -1.00e+05
2022 02 15  1700   59625   61200    0        3.0      389.8     5.88e+04
2022 02 15  1800   59625   64800    0        3.2      386.5     7.35e+04
2022 02 15  1900   59625   68400    0        3.1      388.4     6.81e+04
2022 02 15  2000   59625   72000    0        2.9      387.6     7.41e+04
2022 02 15  2100   59625   75600    0        2.6      385.2     7.83e+04
2022 02 15  2200   59625   79200    1        2.6      382.0     7.35e+04
2022 02 15  2300   59625   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 16  0000   59626       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 16  0100   59626    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 16  0200   59626    7200    9    -9999.9    -9999.9    -1.00e+05
2022 02 16  0300   59626   10800    3    -9999.9    -9999.9    -1.00e+05
2022 02 16  0400   59626   14400    6      178.2      373.1     7.77e+04
2022 02 16  0500   59626   18000    9    -9999.9    -9999.9    -1.00e+05
2022 02 16  0600   59626   21600    9    -9999.9    -9999.9    -1.00e+05
2022 02 16  0700   59626   25200    0        3.9      367.7     3.65e+04
2022 02 16  0800   59626   28800    0        5.1      364.5     3.99e+04
2022 02 16  0900   59626   32400    0        4.7      363.0     3.84e+04
2022 02 16  1000   59626   36000    0        3.5      357.7     6.87e+04
2022 02 16  1100   59626   39600    0        3.6      357.9     5.64e+04
2022 02 16  1200   59626   43200    0        3.8      357.7     6.47e+04
2022 02 16  1300   59626   46800    0        5.1      365.9     5.00e+04
2022 02 16  1400   59626   50400    0        5.0      367.6     5.06e+04
2022 02 16  1500   59626   54000    0        6.2      379.4     4.33e+04
2022 02 16  1600   59626   57600    0        6.5      377.2     3.76e+04
2022 02 16  1700   59626   61200    0        6.3      377.3     2.57e+04
2022 02 16  1800   59626   64800    0        5.4      372.9     2.63e+04
2022 02 16  1900   59626   68400    0        5.7      371.7     2.96e+04
2022 02 16  2000   59626   72000    0        5.0      368.5     2.78e+04
2022 02 16  2100   59626   75600    0        4.7      367.2     2.53e+04
2022 02 16  2200   59626   79200    0        4.9      374.3     2.51e+04
2022 02 16  2300   59626   82800    9    -9999.9    -9999.9    -1.00e+05
2022 02 17  0000   59627       0    9    -9999.9    -9999.9    -1.00e+05
2022 02 17  0100   59627    3600    9    -9999.9    -9999.9    -1.00e+05
2022 02 17  0200   59627    7200    9    -9999.9    -9999.9    -1.00e+05
